,Well.Row,Well.Col,Content,absorbance,Concentration,units,standard_con,dilution,absorbance_zero_adjust,standard_range_indicator,best_sample_dilution
1,A,1,standard,2.2385,n.a.,ng/ml,40,NA,2.08645,1,
2,A,2,standard_rep,2.303,n.a.,ng/ml,40,NA,2.15095,1,
3,A,3,sample1,2.3714,n.a.,ng/ml,NA,50000,2.21935,0,
4,A,4,sample1,2.4996,n.a.,ng/ml,NA,50000,2.34755,0,
5,A,5,sample2,2.5074,n.a.,ng/ml,NA,50000,2.35535,0,
6,A,6,sample2,2.5272,n.a.,ng/ml,NA,50000,2.37515,0,
7,A,7,sample3,2.4981,n.a.,ng/ml,NA,50000,2.34605,0,
8,A,8,sample3,2.5001,n.a.,ng/ml,NA,50000,2.34805,0,
9,A,9,sample4,2.5088,n.a.,ng/ml,NA,50000,2.35675,0,
10,A,10,sample4,2.5327,n.a.,ng/ml,NA,50000,2.38065,0,
11,A,11,empty,0.0062,n.a.,ng/ml,NA,NA,-0.14585,0,
12,A,12,empty,0.0057,n.a.,ng/ml,NA,NA,-0.14635,0,
13,B,1,standard,1.9544,n.a.,ng/ml,20,NA,1.80235,1,
14,B,2,standard_rep,2.0104,n.a.,ng/ml,20,NA,1.85835,1,
15,B,3,sample1,2.2705,n.a.,ng/ml,NA,100000,2.11845,1,
16,B,4,sample1,2.4965,n.a.,ng/ml,NA,100000,2.34445,0,
17,B,5,sample2,2.4378,n.a.,ng/ml,NA,100000,2.28575,0,
18,B,6,sample2,2.4506,n.a.,ng/ml,NA,100000,2.29855,0,
19,B,7,sample3,2.3795,n.a.,ng/ml,NA,100000,2.22745,0,
20,B,8,sample3,2.4066,n.a.,ng/ml,NA,100000,2.25455,0,
21,B,9,sample4,2.4858,n.a.,ng/ml,NA,100000,2.33375,0,
22,B,10,sample4,2.5061,n.a.,ng/ml,NA,100000,2.35405,0,
23,B,11,empty,0.0061,n.a.,ng/ml,NA,NA,-0.14595,0,
24,B,12,empty,0.0056,n.a.,ng/ml,NA,NA,-0.14645,0,
25,C,1,standard,1.4515,n.a.,ng/ml,10,NA,1.29945,1,
26,C,2,standard_rep,1.57,n.a.,ng/ml,10,NA,1.41795,1,
27,C,3,sample1,2.1074,n.a.,ng/ml,NA,200000,1.95535,1,
28,C,4,sample1,2.3139,n.a.,ng/ml,NA,200000,2.16185,0,
29,C,5,sample2,2.276,n.a.,ng/ml,NA,200000,2.12395,1,
30,C,6,sample2,2.2498,n.a.,ng/ml,NA,200000,2.09775,1,
31,C,7,sample3,2.1554,n.a.,ng/ml,NA,200000,2.00335,1,
32,C,8,sample3,2.1452,n.a.,ng/ml,NA,200000,1.99315,1,
33,C,9,sample4,2.3821,n.a.,ng/ml,NA,200000,2.23005,0,
34,C,10,sample4,2.32,n.a.,ng/ml,NA,200000,2.16795,0,
35,C,11,empty,0.0072,n.a.,ng/ml,NA,NA,-0.14485,0,
36,C,12,empty,0.0066,n.a.,ng/ml,NA,NA,-0.14545,0,
37,D,1,standard,0.9961,n.a.,ng/ml,5,NA,0.84405,1,
38,D,2,standard_rep,1.0578,n.a.,ng/ml,5,NA,0.90575,1,
39,D,3,sample1,1.6655,n.a.,ng/ml,NA,400000,1.51345,1,1
40,D,4,sample1,1.8885,n.a.,ng/ml,NA,400000,1.73645,1,1
41,D,5,sample2,1.6897,n.a.,ng/ml,NA,400000,1.53765,1,1
42,D,6,sample2,1.7028,n.a.,ng/ml,NA,400000,1.55075,1,1
43,D,7,sample3,1.533,n.a.,ng/ml,NA,400000,1.38095,1,1
44,D,8,sample3,1.5039,n.a.,ng/ml,NA,400000,1.35185,1,1
45,D,9,sample4,1.8828,n.a.,ng/ml,NA,400000,1.73075,1,1
46,D,10,sample4,1.9237,n.a.,ng/ml,NA,400000,1.77165,1,1
