"","Well.Row","Well.Col","Content","absorbance","Concentration","Raw.Data..450.1.","units","standard_con","dilution","absorbance_zero_adjust","standard_range_indicator"
"1","A",1,"standard",1.403,"n.a.",1.465,"ng/ml",40,NA,1.30675,1
"2","A",2,"standard_rep",1.5239,"n.a.",1.6632,"ng/ml",40,NA,1.42765,1
"3","A",3,"sample1_spike_sample",1.273,"n.a.",1.3195,"ng/ml",NA,1,1.17675,1
"4","A",4,"sample1_spike_control",0.4989,"n.a.",0.5375,"ng/ml",NA,1,0.40265,1
"5","A",5,"sample1_unspiked_sample",1.0375,"n.a.",1.1063,"ng/ml",NA,1,0.94125,1
"6","A",6,"sample2_spike_sample",1.018,"n.a.",1.062,"ng/ml",NA,1,0.92175,1
"7","A",7,"sample2_spike_control",0.8971,"n.a.",0.962,"ng/ml",NA,1,0.80085,1
"8","A",8,"sample2_unspiked_sample",1.7437,"n.a.",1.8047,"ng/ml",NA,1,1.64745,0
"9","A",9,"empty",0.0063,"n.a.",0.048,"ng/ml",NA,NA,-0.08995,0
"10","A",10,"empty",0.0056,"n.a.",0.0412,"ng/ml",NA,NA,-0.09065,0
"11","A",11,"empty",0.0227,"n.a.",0.1782,"ng/ml",NA,NA,-0.07355,0
"12","A",12,"empty",0.0101,"n.a.",0.0895,"ng/ml",NA,NA,-0.08615,0
"13","B",1,"standard",1.6462,"n.a.",1.7374,"ng/ml",20,NA,1.54995,1
"14","B",2,"standard_rep",1.5773,"n.a.",1.6327,"ng/ml",20,NA,1.48105,1
"15","B",3,"sample1_spike_sample",1.4044,"n.a.",1.4539,"ng/ml",NA,2,1.30815,1
"16","B",4,"sample1_spike_control",0.8301,"n.a.",0.8735,"ng/ml",NA,2,0.73385,1
"17","B",5,"sample1_unspiked_sample",1.1194,"n.a.",1.1633,"ng/ml",NA,2,1.02315,1
"18","B",6,"sample2_spike_sample",1.1189,"n.a.",1.1661,"ng/ml",NA,2,1.02265,1
"19","B",7,"sample2_spike_control",1.02,"n.a.",1.0746,"ng/ml",NA,2,0.92375,1
"20","B",8,"sample2_unspiked_sample",0.7657,"n.a.",0.8146,"ng/ml",NA,2,0.66945,1
"21","B",9,"empty",0.0096,"n.a.",0.1081,"ng/ml",NA,NA,-0.08665,0
"22","B",10,"empty",0.0053,"n.a.",0.0496,"ng/ml",NA,NA,-0.09095,0
"23","B",11,"empty",0.0058,"n.a.",0.0605,"ng/ml",NA,NA,-0.09045,0
"24","B",12,"empty",0.0051,"n.a.",0.0447,"ng/ml",NA,NA,-0.09115,0
"25","C",1,"standard",1.2209,"n.a.",1.2757,"ng/ml",10,NA,1.12465,1
"26","C",2,"standard_rep",1.1886,"n.a.",1.3064,"ng/ml",10,NA,1.09235,1
"27","C",3,"sample1_spike_sample",0.7937,"n.a.",0.8418,"ng/ml",NA,4,0.69745,1
"28","C",4,"sample1_spike_control",0.3871,"n.a.",0.4234,"ng/ml",NA,4,0.29085,1
"29","C",5,"sample1_unspiked_sample",1.1309,"n.a.",1.1883,"ng/ml",NA,4,1.03465,1
"30","C",6,"sample2_spike_sample",0.6823,"n.a.",0.7343,"ng/ml",NA,4,0.58605,1
"31","C",7,"sample2_spike_control",0.4191,"n.a.",0.4581,"ng/ml",NA,4,0.32285,1
"32","C",8,"sample2_unspiked_sample",0.3897,"n.a.",0.4255,"ng/ml",NA,4,0.29345,1
"33","C",9,"empty",0.0072,"n.a.",0.0486,"ng/ml",NA,NA,-0.08905,0
"34","C",10,"empty",0.0059,"n.a.",0.0434,"ng/ml",NA,NA,-0.09035,0
"35","C",11,"empty",0.0053,"n.a.",0.043,"ng/ml",NA,NA,-0.09095,0
"36","C",12,"empty",0.0055,"n.a.",0.0427,"ng/ml",NA,NA,-0.09075,0
"37","D",1,"standard",0.7398,"n.a.",0.7835,"ng/ml",5,NA,0.64355,1
"38","D",2,"standard_rep",0.7492,"n.a.",0.8222,"ng/ml",5,NA,0.65295,1
"39","D",3,"sample1_spike_sample",0.6229,"n.a.",0.6626,"ng/ml",NA,8,0.52665,1
"40","D",4,"sample1_spike_control",0.3252,"n.a.",0.3594,"ng/ml",NA,8,0.22895,1
"41","D",5,"sample1_unspiked_sample",0.3123,"n.a.",0.348,"ng/ml",NA,8,0.21605,1
"42","D",6,"sample2_spike_sample",0.5426,"n.a.",0.5797,"ng/ml",NA,8,0.44635,1
"43","D",7,"sample2_spike_control",0.2974,"n.a.",0.3309,"ng/ml",NA,8,0.20115,1
"44","D",8,"sample2_unspiked_sample",0.2452,"n.a.",0.279,"ng/ml",NA,8,0.14895,1
"45","D",9,"empty",0.0069,"n.a.",0.0501,"ng/ml",NA,NA,-0.08935,0
"46","D",10,"empty",0.0058,"n.a.",0.0479,"ng/ml",NA,NA,-0.09045,0
"47","D",11,"empty",0.0063,"n.a.",0.0528,"ng/ml",NA,NA,-0.08995,0
