"Well
Row","Well
Col",Content,450 - Ref.,Concentration
A,1,Sample X1,1.8531,n.a.
A,2,Sample X2,1.9601,n.a.
A,3,Sample X3,2.0218,n.a.
A,4,Sample X4,1.9519,n.a.
A,5,Sample X5,1.3856,n.a.
A,6,Sample X6,1.2578,n.a.
A,7,Sample X7,1.2974,n.a.
A,8,Sample X8,1.364,n.a.
A,9,Sample X9,2.5163,n.a.
A,10,Sample X10,2.5709,n.a.
A,11,Sample X11,0.0082,n.a.
A,12,Sample X12,0.005,n.a.
B,1,Sample X13,1.2886,n.a.
B,2,Sample X14,1.371,n.a.
B,3,Sample X15,1.1034,n.a.
B,4,Sample X16,1.0022,n.a.
B,5,Sample X17,0.3612,n.a.
B,6,Sample X18,0.3803,n.a.
B,7,Sample X19,0.3733,n.a.
B,8,Sample X20,0.3554,n.a.
B,9,Sample X21,2.2908,n.a.
B,10,Sample X22,2.2548,n.a.
B,11,Sample X23,0.0169,n.a.
B,12,Sample X24,0.0063,n.a.
C,1,Sample X25,0.8239,n.a.
C,2,Sample X26,0.8427,n.a.
C,3,Sample X27,0.2665,n.a.
C,4,Sample X28,0.2472,n.a.
C,5,Sample X29,0.1485,n.a.
C,6,Sample X30,0.1215,n.a.
C,7,Sample X31,0.1703,n.a.
C,8,Sample X32,0.1688,n.a.
C,9,Sample X33,1.1472,n.a.
C,10,Sample X34,1.0997,n.a.
C,11,Sample X35,0.018,n.a.
C,12,Sample X36,0.0059,n.a.
D,1,Sample X37,0.4832,n.a.
D,2,Sample X38,0.5278,n.a.
D,3,Sample X39,0.183,n.a.
D,4,Sample X40,0.1757,n.a.
D,5,Sample X41,0.1749,n.a.
D,6,Sample X42,0.1406,n.a.
D,7,Sample X43,0.1294,n.a.
D,8,Sample X44,0.1313,n.a.
D,9,Sample X45,0.8009,n.a.
D,10,Sample X46,0.7567,n.a.
D,11,Sample X47,0.0137,n.a.
D,12,Sample X48,0.0098,n.a.
E,1,Sample X49,0.2811,n.a.
E,2,Sample X50,0.2895,n.a.
E,3,Sample X51,0.0055,n.a.
E,4,Sample X52,0.0066,n.a.
E,5,Sample X53,0.0088,n.a.
E,6,Sample X54,0.0068,n.a.
E,7,Sample X55,0.0068,n.a.
E,8,Sample X56,0.0069,n.a.
E,9,Sample X57,0.0064,n.a.
E,10,Sample X58,0.006,n.a.
E,11,Sample X59,0.0064,n.a.
E,12,Sample X60,0.0066,n.a.
F,1,Sample X61,0.2053,n.a.
F,2,Sample X62,0.2016,n.a.
F,3,Sample X63,0.0066,n.a.
F,4,Sample X64,0.0066,n.a.
F,5,Sample X65,0.0068,n.a.
F,6,Sample X66,0.0054,n.a.
F,7,Sample X67,0.0062,n.a.
F,8,Sample X68,0.0056,n.a.
F,9,Sample X69,0.0048,n.a.
F,10,Sample X70,0.0058,n.a.
F,11,Sample X71,0.0072,n.a.
F,12,Sample X72,0.0075,n.a.
G,1,Sample X73,0.152,n.a.
G,2,Sample X74,0.148,n.a.
G,3,Sample X75,0.0057,n.a.
G,4,Sample X76,0.0066,n.a.
G,5,Sample X77,0.0047,n.a.
G,6,Sample X78,0.0057,n.a.
G,7,Sample X79,0.0085,n.a.
G,8,Sample X80,0.007,n.a.
G,9,Sample X81,0.008,n.a.
G,10,Sample X82,0.0048,n.a.
G,11,Sample X83,0.0063,n.a.
G,12,Sample X84,0.0053,n.a.
H,1,Sample X85,0.1172,n.a.
H,2,Sample X86,0.109,n.a.
H,3,Sample X87,0.0069,n.a.
H,4,Sample X88,0.0069,n.a.
H,5,Sample X89,0.0063,n.a.
H,6,Sample X90,0.0061,n.a.
H,7,Sample X91,0.0062,n.a.
H,8,Sample X92,0.0052,n.a.
H,9,Sample X93,0.0071,n.a.
H,10,Sample X94,0.0068,n.a.
H,11,Sample X95,0.006,n.a.
H,12,Sample X96,0.0056,n.a.
