,Well.Row,Well.Col,Content,absorbance,Concentration,units,standard_con,dilution,absorbance_zero_adjust,standard_range_indicator,best_sample_dilution
1,A,1,standard,2.1623,n.a.,pg/ml,1500,NA,1.6931,1,
2,A,2,standard_rep,2.1666,n.a.,pg/ml,1500,NA,1.6974,1,
3,A,3,sample1,2.271,n.a.,pg/ml,NA,50000,1.8018,0,
4,A,4,sample1,2.3371,n.a.,pg/ml,NA,50000,1.8679,0,
5,A,5,sample2,2.3752,n.a.,pg/ml,NA,50000,1.906,0,
6,A,6,sample2,2.2355,n.a.,pg/ml,NA,50000,1.7663,0,
7,A,7,sample3,2.4389,n.a.,pg/ml,NA,50000,1.9697,0,
8,A,8,sample3,2.3601,n.a.,pg/ml,NA,50000,1.8909,0,
9,A,9,sample4,2.6471,n.a.,pg/ml,NA,50000,2.1779,0,
10,A,10,sample4,2.6688,n.a.,pg/ml,NA,50000,2.1996,0,
11,A,11,empty,0.0059,n.a.,pg/ml,NA,NA,-0.4633,0,
12,A,12,empty,0.0062,n.a.,pg/ml,NA,NA,-0.463,0,
13,B,1,standard,1.9116,n.a.,pg/ml,750,NA,1.4424,1,
14,B,2,standard_rep,1.921,n.a.,pg/ml,750,NA,1.4518,1,
15,B,3,sample1,1.9768,n.a.,pg/ml,NA,100000,1.5076,1,
16,B,4,sample1,1.5633,n.a.,pg/ml,NA,100000,1.0941,1,
17,B,5,sample2,1.852,n.a.,pg/ml,NA,100000,1.3828,1,
18,B,6,sample2,1.9176,n.a.,pg/ml,NA,100000,1.4484,1,
19,B,7,sample3,2.0935,n.a.,pg/ml,NA,100000,1.6243,1,
20,B,8,sample3,2.1297,n.a.,pg/ml,NA,100000,1.6605,1,
21,B,9,sample4,2.463,n.a.,pg/ml,NA,100000,1.9938,0,
22,B,10,sample4,2.5645,n.a.,pg/ml,NA,100000,2.0953,0,
23,B,11,empty,0.0046,n.a.,pg/ml,NA,NA,-0.4646,0,
24,B,12,empty,0.0066,n.a.,pg/ml,NA,NA,-0.4626,0,
25,C,1,standard,1.429,n.a.,pg/ml,375,NA,0.9598,1,
26,C,2,standard_rep,1.3764,n.a.,pg/ml,375,NA,0.9072,1,
27,C,3,sample1,1.0859,n.a.,pg/ml,NA,200000,0.6167,1,1
28,C,4,sample1,1.6637,n.a.,pg/ml,NA,200000,1.1945,1,1
29,C,5,sample2,1.4343,n.a.,pg/ml,NA,200000,0.9651,1,1
30,C,6,sample2,1.4785,n.a.,pg/ml,NA,200000,1.0093,1,1
31,C,7,sample3,1.6248,n.a.,pg/ml,NA,200000,1.1556,1,1
32,C,8,sample3,1.5866,n.a.,pg/ml,NA,200000,1.1174,1,1
33,C,9,sample4,2.3578,n.a.,pg/ml,NA,200000,1.8886,0,
34,C,10,sample4,2.1852,n.a.,pg/ml,NA,200000,1.716,0,
35,C,11,empty,0.0067,n.a.,pg/ml,NA,NA,-0.4625,0,
36,C,12,empty,0.0062,n.a.,pg/ml,NA,NA,-0.463,0,
37,D,1,standard,1.0443,n.a.,pg/ml,188,NA,0.5751,1,
38,D,2,standard_rep,1.0656,n.a.,pg/ml,188,NA,0.5964,1,
39,D,3,sample1,0.2391,n.a.,pg/ml,NA,400000,-0.2301,0,
40,D,4,sample1,0.978,n.a.,pg/ml,NA,400000,0.5088,1,1
41,D,5,sample2,1.0489,n.a.,pg/ml,NA,400000,0.5797,1,1
