"","Well.Row","Well.Col","Content","absorbance","Concentration","Raw.Data..450.1.","units","standard_con","dilution","absorbance_zero_adjust","standard_range_indicator"
"1","A",1,"standard",1.6984,"n.a.",1.7499,"pg/ml",1500,NA,1.4067,1
"2","A",2,"standard_rep",1.8532,"n.a.",1.9097,"pg/ml",1500,NA,1.5615,1
"3","A",3,"sample1_spike_sample",1.8811,"n.a.",1.9469,"pg/ml",NA,1,1.5894,0
"4","A",4,"sample1_spike_control",0.9562,"n.a.",1.0027,"pg/ml",NA,1,0.6645,1
"5","A",5,"sample1_unspiked_sample",1.9713,"n.a.",2.0322,"pg/ml",NA,1,1.6796,0
"6","A",6,"sample2_spike_sample",1.2779,"n.a.",1.3415,"pg/ml",NA,1,0.9862,1
"7","A",7,"sample2_spike_control",0.8289,"n.a.",0.8865,"pg/ml",NA,1,0.5372,1
"8","A",8,"sample2_unspiked_sample",0.771,"n.a.",0.8084,"pg/ml",NA,1,0.4793,1
"9","A",9,"empty",0.0071,"n.a.",0.107,"pg/ml",NA,NA,-0.2846,0
"10","A",10,"empty",0.0053,"n.a.",0.0587,"pg/ml",NA,NA,-0.2864,0
"11","A",11,"empty",0.0058,"n.a.",0.0514,"pg/ml",NA,NA,-0.2859,0
"12","A",12,"empty",0.0061,"n.a.",0.072,"pg/ml",NA,NA,-0.2856,0
"13","B",1,"standard",1.1659,"n.a.",1.2106,"pg/ml",750,NA,0.8742,1
"14","B",2,"standard_rep",1.2902,"n.a.",1.3392,"pg/ml",750,NA,0.9985,1
"15","B",3,"sample1_spike_sample",1.3561,"n.a.",1.4047,"pg/ml",NA,2,1.0644,1
"16","B",4,"sample1_spike_control",0.563,"n.a.",0.6009,"pg/ml",NA,2,0.2713,1
"17","B",5,"sample1_unspiked_sample",1.2187,"n.a.",1.2658,"pg/ml",NA,2,0.927,1
"18","B",6,"sample2_spike_sample",1.005,"n.a.",1.0561,"pg/ml",NA,2,0.7133,1
"19","B",7,"sample2_spike_control",0.6385,"n.a.",0.6779,"pg/ml",NA,2,0.3468,1
"20","B",8,"sample2_unspiked_sample",0.6811,"n.a.",0.7189,"pg/ml",NA,2,0.3894,1
"21","B",9,"empty",0.0067,"n.a.",0.0671,"pg/ml",NA,NA,-0.285,0
"22","B",10,"empty",0.0056,"n.a.",0.0421,"pg/ml",NA,NA,-0.2861,0
"23","B",11,"empty",0.0074,"n.a.",0.0493,"pg/ml",NA,NA,-0.2843,0
"24","B",12,"empty",0.0056,"n.a.",0.0458,"pg/ml",NA,NA,-0.2861,0
"25","C",1,"standard",0.8064,"n.a.",0.8486,"pg/ml",375,NA,0.5147,1
"26","C",2,"standard_rep",0.9496,"n.a.",0.992,"pg/ml",375,NA,0.6579,1
"27","C",3,"sample1_spike_sample",0.9666,"n.a.",1.011,"pg/ml",NA,4,0.6749,1
"28","C",4,"sample1_spike_control",0.458,"n.a.",0.4949,"pg/ml",NA,4,0.1663,1
"29","C",5,"sample1_unspiked_sample",0.9334,"n.a.",0.9769,"pg/ml",NA,4,0.6417,1
"30","C",6,"sample2_spike_sample",0.7269,"n.a.",0.7643,"pg/ml",NA,4,0.4352,1
"31","C",7,"sample2_spike_control",0.5632,"n.a.",0.6036,"pg/ml",NA,4,0.2715,1
"32","C",8,"sample2_unspiked_sample",0.5486,"n.a.",0.5878,"pg/ml",NA,4,0.2569,1
"33","C",9,"empty",0.0059,"n.a.",0.0481,"pg/ml",NA,NA,-0.2858,0
"34","C",10,"empty",0.006,"n.a.",0.0507,"pg/ml",NA,NA,-0.2857,0
"35","C",11,"empty",0.0066,"n.a.",0.044,"pg/ml",NA,NA,-0.2851,0
"36","C",12,"empty",0.0235,"n.a.",0.2336,"pg/ml",NA,NA,-0.2682,0
"37","D",1,"standard",0.6195,"n.a.",0.6648,"pg/ml",188,NA,0.3278,1
"38","D",2,"standard_rep",0.6584,"n.a.",0.6964,"pg/ml",188,NA,0.3667,1
"39","D",3,"sample1_spike_sample",0.77,"n.a.",0.8126,"pg/ml",NA,8,0.4783,1
"40","D",4,"sample1_spike_control",0.6004,"n.a.",0.6575,"pg/ml",NA,8,0.3087,1
"41","D",5,"sample1_unspiked_sample",0.6759,"n.a.",0.7176,"pg/ml",NA,8,0.3842,1
"42","D",6,"sample2_spike_sample",0.6036,"n.a.",0.6406,"pg/ml",NA,8,0.3119,1
"43","D",7,"sample2_spike_control",0.4744,"n.a.",0.5116,"pg/ml",NA,8,0.1827,1
"44","D",8,"sample2_unspiked_sample",0.5197,"n.a.",0.5578,"pg/ml",NA,8,0.228,1
"45","D",9,"empty",0.006,"n.a.",0.0421,"pg/ml",NA,NA,-0.2857,0
"46","D",10,"empty",0.0069,"n.a.",0.0482,"pg/ml",NA,NA,-0.2848,0
"47","D",11,"empty",0.0062,"n.a.",0.0552,"pg/ml",NA,NA,-0.2855,0
"48","D",12,"empty",0.0059,"n.a.",0.0514,"pg/ml",NA,NA,-0.2858,0
