"","Well.Row","Well.Col","Content","absorbance","Concentration","Raw.Data..450.1.","units","standard_con","dilution","absorbance_zero_adjust","standard_range_indicator"
"1","A",1,"standard",2.3766,"n.a.",2.441,"ng/ml",100,NA,2.3317,1
"2","A",2,"standard_rep",2.3577,"n.a.",2.4206,"ng/ml",100,NA,2.3128,1
"3","A",3,"sample1_spike_sample",2.56,"n.a.",2.6309,"ng/ml",NA,1,2.5151,0
"4","A",4,"sample1_spike_control",2.0167,"n.a.",2.0752,"ng/ml",NA,1,1.9718,1
"5","A",5,"sample1_unspiked_sample",0.3685,"n.a.",0.4035,"ng/ml",NA,1,0.3236,1
"6","A",6,"sample2_spike_sample",2.3219,"n.a.",2.3849,"ng/ml",NA,1,2.277,1
"7","A",7,"sample2_spike_control",0.7875,"n.a.",0.8268,"ng/ml",NA,1,0.7426,1
"8","A",8,"sample2_unspiked_sample",0.4536,"n.a.",0.4923,"ng/ml",NA,1,0.4087,1
"9","A",9,"empty",0.0067,"n.a.",0.0649,"ng/ml",NA,NA,-0.0382,0
"10","A",10,"empty",0.0061,"n.a.",0.0389,"ng/ml",NA,NA,-0.0388,0
"11","A",11,"empty",0.0069,"n.a.",0.0461,"ng/ml",NA,NA,-0.038,0
"12","A",12,"empty",0.0064,"n.a.",0.0503,"ng/ml",NA,NA,-0.0385,0
"13","B",1,"standard",2.1245,"n.a.",2.1801,"ng/ml",50,NA,2.0796,1
"14","B",2,"standard_rep",2.1553,"n.a.",2.2208,"ng/ml",50,NA,2.1104,1
"15","B",3,"sample1_spike_sample",2.3054,"n.a.",2.3697,"ng/ml",NA,2,2.2605,1
"16","B",4,"sample1_spike_control",0.2708,"n.a.",0.3046,"ng/ml",NA,2,0.2259,1
"17","B",5,"sample1_unspiked_sample",1.1526,"n.a.",1.1996,"ng/ml",NA,2,1.1077,1
"18","B",6,"sample2_spike_sample",2.0666,"n.a.",2.1275,"ng/ml",NA,2,2.0217,1
"19","B",7,"sample2_spike_control",0.25,"n.a.",0.2998,"ng/ml",NA,2,0.2051,1
"20","B",8,"sample2_unspiked_sample",0.8977,"n.a.",0.9456,"ng/ml",NA,2,0.8528,1
"21","B",9,"empty",0.0064,"n.a.",0.0441,"ng/ml",NA,NA,-0.0385,0
"22","B",10,"empty",0.0064,"n.a.",0.0434,"ng/ml",NA,NA,-0.0385,0
"23","B",11,"empty",0.0065,"n.a.",0.057,"ng/ml",NA,NA,-0.0384,0
"24","B",12,"empty",0.0068,"n.a.",0.0527,"ng/ml",NA,NA,-0.0381,0
"25","C",1,"standard",1.8025,"n.a.",1.8562,"ng/ml",25,NA,1.7576,1
"26","C",2,"standard_rep",1.8296,"n.a.",1.885,"ng/ml",25,NA,1.7847,1
"27","C",3,"sample1_spike_sample",1.7781,"n.a.",1.8304,"ng/ml",NA,4,1.7332,1
