Spectra_Filepath	Fraction	Label	Fraction_Group	Sample
Mateus_iTRAQ_run1_Fr01_4ul.mzML	1	1	1	1
Mateus_iTRAQ_run1_Fr01_4ul.mzML	1	2	1	2
Mateus_iTRAQ_run1_Fr01_4ul.mzML	1	3	1	3
Mateus_iTRAQ_run1_Fr01_4ul.mzML	1	4	1	4
Mateus_iTRAQ_run1_Fr02_4ul.mzML	2	1	1	5
Mateus_iTRAQ_run1_Fr02_4ul.mzML	2	2	1	6
Mateus_iTRAQ_run1_Fr02_4ul.mzML	2	3	1	7
Mateus_iTRAQ_run1_Fr02_4ul.mzML	2	4	1	8
Mateus_iTRAQ_run1_Fr03_4ul.mzML	3	1	1	9
Mateus_iTRAQ_run1_Fr03_4ul.mzML	3	2	1	10
Mateus_iTRAQ_run1_Fr03_4ul.mzML	3	3	1	11
Mateus_iTRAQ_run1_Fr03_4ul.mzML	3	4	1	12
Mateus_iTRAQ_run1_Fr04_4ul.mzML	4	1	1	13
Mateus_iTRAQ_run1_Fr04_4ul.mzML	4	2	1	14
Mateus_iTRAQ_run1_Fr04_4ul.mzML	4	3	1	15
Mateus_iTRAQ_run1_Fr04_4ul.mzML	4	4	1	16
Mateus_iTRAQ_run1_Fr05_4ul.mzML	5	1	1	17
Mateus_iTRAQ_run1_Fr05_4ul.mzML	5	2	1	18
Mateus_iTRAQ_run1_Fr05_4ul.mzML	5	3	1	19
Mateus_iTRAQ_run1_Fr05_4ul.mzML	5	4	1	20
Mateus_iTRAQ_run1_Fr06_4ul.mzML	6	1	1	21
Mateus_iTRAQ_run1_Fr06_4ul.mzML	6	2	1	22
Mateus_iTRAQ_run1_Fr06_4ul.mzML	6	3	1	23
Mateus_iTRAQ_run1_Fr06_4ul.mzML	6	4	1	24
Mateus_iTRAQ_run1_Fr07_4ul.mzML	7	1	1	25
Mateus_iTRAQ_run1_Fr07_4ul.mzML	7	2	1	26
Mateus_iTRAQ_run1_Fr07_4ul.mzML	7	3	1	27
Mateus_iTRAQ_run1_Fr07_4ul.mzML	7	4	1	28
Mateus_iTRAQ_run1_Fr08_4ul.mzML	8	1	1	29
Mateus_iTRAQ_run1_Fr08_4ul.mzML	8	2	1	30
Mateus_iTRAQ_run1_Fr08_4ul.mzML	8	3	1	31
Mateus_iTRAQ_run1_Fr08_4ul.mzML	8	4	1	32
Mateus_iTRAQ_run1_Fr09_4ul.mzML	9	1	1	33
Mateus_iTRAQ_run1_Fr09_4ul.mzML	9	2	1	34
Mateus_iTRAQ_run1_Fr09_4ul.mzML	9	3	1	35
Mateus_iTRAQ_run1_Fr09_4ul.mzML	9	4	1	36
Mateus_iTRAQ_run1_Fr10_4ul.mzML	10	1	1	37
Mateus_iTRAQ_run1_Fr10_4ul.mzML	10	2	1	38
Mateus_iTRAQ_run1_Fr10_4ul.mzML	10	3	1	39
Mateus_iTRAQ_run1_Fr10_4ul.mzML	10	4	1	40
Mateus_iTRAQ_run1_Fr11_4ul.mzML	11	1	1	41
Mateus_iTRAQ_run1_Fr11_4ul.mzML	11	2	1	42
Mateus_iTRAQ_run1_Fr11_4ul.mzML	11	3	1	43
Mateus_iTRAQ_run1_Fr11_4ul.mzML	11	4	1	44
Mateus_iTRAQ_run1_Fr12_4ul.mzML	12	1	1	45
Mateus_iTRAQ_run1_Fr12_4ul.mzML	12	2	1	46
Mateus_iTRAQ_run1_Fr12_4ul.mzML	12	3	1	47
Mateus_iTRAQ_run1_Fr12_4ul.mzML	12	4	1	48
Mateus_iTRAQ_run2_Fr01_4ul.mzML	1	1	2	49
Mateus_iTRAQ_run2_Fr01_4ul.mzML	1	2	2	50
Mateus_iTRAQ_run2_Fr01_4ul.mzML	1	3	2	51
