Spectra_Filepath	Fraction	Label	Fraction_Group	Sample
filefilter_run1.mzML	1	1	1	1
filefilter_run1.mzML	1	2	1	2
filefilter_run1.mzML	1	3	1	3
filefilter_run1.mzML	1	4	1	4
filefilter_run2.mzML	1	1	2	5
filefilter_run2.mzML	1	2	2	6
filefilter_run2.mzML	1	3	2	7
filefilter_run2.mzML	1	4	2	8
				
Sample	MSstats_Condition	MSstats_BioReplicate	MSstats_Mixture	LabelName
1	c_acute_improve	1	1	114
2	c_subacute_improve	1	1	115
3	c_acute_nonimprove	1	1	116
4	c_subacute_nonimprove	1	1	117
5	c_acute_improve	1	2	114
6	c_acute_nonimprove	1	2	115
7	a	1	2	116
8	d	1	2	117
